Region,Depth,Oil_Production_Rate,Extraction_Method,Water_Cut,Flaring_Emissions_MtCO2,Venting_Emissions_MtCO2,Methane_Emissions_MtCO2e
north america,616.38,1287156.22,steam injection,22.68,6.62,1.99,6.43
north america,4535.75,998.56,water flooding,67.6,9.89,1.05,7.44
middle east,1461.26,4784.96,steam injection,51.58,3.92,4.17,4.02
europe,1738.14,4275342.83,fracking,54.34,9.04,0.02,6.57
north america,984.99,1082993.71,natural lift,94.26,9.6,2.95,3.91
south america,1282.32,3459560.79,natural lift,28.63,3.1,3.68,5.26
africa,815.67,1099060.54,fracking,62.15,7.14,1.78,0.44
africa,4980.52,1352425.39,water flooding,52.93,1.13,0.44,6.79
asia,1796.25,1067598.69,steam injection,24.02,2.3,1.87,6.7
europe,3802.14,4190384.24,steam injection,1.6,3.05,4.96,4.81
south america,4033.89,597.61,fracking,44.93,9.67,0.36,5.8
north america,2118.93,3488744.44,natural lift,20.4,8.12,3.42,4.55
africa,3596.79,493.93,natural lift,9.03,2.67,0.34,0.47
africa,2160.19,2606087.72,fracking,60.06,3.82,0.23,1.42
south america,2686.25,3885725.19,natural lift,87.24,7.74,3.68,8.48
north america,2560.46,1708002.72,water flooding,15.75,5.36,4.01,8.38
europe,778.53,4258.65,natural lift,65.08,0.41,1.47,7.66
europe,3039.48,3448242.94,steam injection,22.86,5.93,0.69,1.49
africa,3937.25,3718888.33,natural lift,36.56,5.34,3.77,8.59
north america,4111.22,4722.63,water flooding,98.36,2.37,1.67,8.25
africa,4073.14,2820822.16,natural lift,78.96,2.34,4.78,4.01
south america,3071.77,2575.16,water flooding,18.66,8.53,4.84,4.1
europe,1279.51,1904.6,fracking,11.45,2.94,2.81,6.13
north america,887.43,423.68,natural lift,83.66,5.44,0.22,5.76
south america,2899.4,2243076.87,steam injection,92.11,5.33,2.76,8.16
europe,1923.3,3454343.51,steam injection,89.6,7.31,4.79,9.45
africa,899.99,3364308.49,fracking,6.09,2.48,4.25,0.32
north america,1850.98,2858809.43,water flooding,75.2,3.25,4.35,8.36
europe,1095.76,816909.71,natural lift,78.98,3.98,1.05,6.85
asia,2603.45,827640.75,water flooding,38.73,5.33,1.04,6.69
asia,4027.16,3152601.71,natural lift,12.72,0.76,2.97,9.89
north america,3829.64,4803051.48,fracking,62.94,4.97,2.68,7.83
north america,712.39,2000606.39,water flooding,32.32,7.98,4.35,3.62
asia,3054.4,195.32,fracking,53.58,2.91,3.38,5.2
south america,1997.84,1911.2,steam injection,77.36,8.35,1.78,6.99
north america,2848.72,1518095.37,water flooding,66.97,4.0,2.47,5.97
north america,525.5,2296.7,steam injection,4.76,4.73,1.06,7.29
north america,2061.4,3327.62,natural lift,93.44,3.31,3.1,4.03
europe,3728.6,1179.98,natural lift,66.91,2.67,0.33,6.24
europe,2619.93,1222263.94,water flooding,31.61,3.19,3.58,1.28
asia,1087.88,4647803.03,natural lift,25.54,4.89,2.19,7.12
south america,1751.82,2529.72,fracking,54.36,8.49,2.85,1.66
middle east,4226.78,4625.46,fracking,18.02,5.6,0.77,1.88
north america,772.34,2326076.62,steam injection,97.26,0.17,4.23,8.71
africa,1440.69,4004023.2,natural lift,41.04,1.86,4.93,1.44
asia,1034.9,3818000.07,fracking,31.38,3.89,2.09,8.34
asia,4301.77,2182118.87,water flooding,35.84,8.84,4.73,3.71
europe,4411.51,4988.5,natural lift,54.62,5.47,1.25,2.58
north america,4686.18,672333.19,fracking,63.3,9.78,0.9,2.1
north america,1374.9,3106743.04,water flooding,47.43,8.87,1.37,2.81
europe,718.82,1536466.09,fracking,55.49,6.59,4.37,0.59
south america,928.1,828863.45,water flooding,50.1,5.82,3.48,0.79
africa,4281.58,1351747.51,water flooding,90.22,9.76,2.12,7.85
middle east,3276.33,2907171.47,water flooding,56.97,5.31,0.89,8.67
south america,1806.45,1733151.96,water flooding,34.69,6.52,1.04,7.41
asia,1076.05,137298.56,natural lift,8.49,6.26,1.83,1.18
middle east,1027.69,2165409.35,natural lift,61.6,9.74,1.57,9.36
north america,4163.49,4059483.31,water flooding,41.55,5.85,4.14,6.32
asia,3139.99,2203.07,natural lift,98.68,1.98,4.48,7.0
north america,3730.0,1755593.93,steam injection,55.71,5.02,2.03,5.5
asia,1410.79,977.62,steam injection,42.97,5.96,0.43,4.48
south america,971.77,1933.45,natural lift,80.29,4.08,0.45,4.86
north america,2813.4,3389752.84,steam injection,25.68,6.71,1.07,3.93
middle east,3629.44,3944.76,steam injection,78.35,5.33,1.55,7.85
north america,4313.52,4018193.61,fracking,67.0,5.49,0.89,7.97
south america,3576.27,917.57,water flooding,21.41,2.08,0.82,3.11
europe,2426.54,1523936.7,natural lift,88.96,4.58,1.9,6.96
north america,3046.74,936.74,natural lift,35.44,4.64,4.65,7.75
europe,755.66,2711.77,steam injection,27.81,5.41,4.33,8.29
north america,4045.21,4499161.06,water flooding,30.19,7.21,2.6,0.17
asia,1805.2,4316.02,fracking,10.23,1.21,0.64,1.75
south america,3212.86,860932.0,natural lift,90.32,2.14,4.68,1.44
north america,1718.47,4806.95,fracking,28.57,8.1,0.51,5.56
middle east,1170.71,3767.75,fracking,61.93,9.77,0.33,7.84
middle east,1704.31,1744.01,fracking,70.67,5.4,4.84,8.08
north america,2524.36,187756.86,fracking,3.1,2.73,2.63,3.01
asia,519.84,2362.54,water flooding,48.11,8.83,3.97,9.37
asia,3142.83,2680583.74,water flooding,46.86,5.74,4.52,0.77
north america,2820.34,2794.28,fracking,47.22,9.77,4.52,0.99
south america,2414.41,4929.52,water flooding,91.83,2.22,1.16,2.71
europe,825.86,4858.06,steam injection,0.75,1.09,3.74,4.91
asia,3229.42,2408.12,fracking,20.31,6.76,3.68,7.65
middle east,960.75,581.6,fracking,8.8,2.7,1.96,8.51
north america,3266.2,4091651.08,steam injection,2.88,8.09,4.49,0.39
asia,4559.91,4298848.95,fracking,51.44,2.99,4.05,4.93
europe,1781.65,2312088.88,fracking,15.57,7.64,1.52,1.14
asia,4694.73,4528.67,fracking,52.11,5.59,0.6,3.9
europe,4713.13,4329425.09,fracking,32.13,0.22,4.2,7.15
middle east,4621.39,3112157.56,fracking,63.41,0.33,4.31,5.67
middle east,2415.03,2995.22,natural lift,31.23,3.8,1.66,2.72
asia,1765.88,2921389.41,water flooding,13.95,7.32,2.16,0.63
africa,2736.99,3931558.08,water flooding,93.34,6.77,4.46,1.96
north america,3669.41,3211.37,steam injection,84.85,2.13,0.68,3.4
south america,4797.82,3972092.53,water flooding,45.18,8.17,3.73,3.65
africa,2712.92,4481.97,fracking,60.26,1.56,1.88,2.78
middle east,690.52,3731006.25,fracking,56.84,4.64,4.3,0.43
south america,2803.18,2772.74,water flooding,56.56,0.19,0.63,0.21
asia,1416.0,1083.46,natural lift,8.34,7.48,0.63,1.37
south america,3669.16,3498.63,water flooding,76.63,5.3,0.83,4.11
north america,3876.81,4826804.99,steam injection,84.55,9.31,2.14,5.5
asia,3113.04,3969.35,steam injection,95.09,8.01,4.69,7.28
middle east,1441.59,3345866.95,steam injection,45.54,6.51,4.19,1.04
africa,2445.79,1180283.59,fracking,94.44,3.47,4.21,6.34
middle east,1575.69,753.43,steam injection,71.92,4.8,0.91,2.47
europe,1791.16,407771.08,water flooding,84.43,5.47,0.2,5.1
north america,2380.04,2956.24,natural lift,42.02,7.51,1.26,5.96
asia,2634.25,4073554.62,natural lift,55.13,4.78,1.49,4.18
south america,4779.96,3923.22,steam injection,12.51,7.41,0.89,3.65
europe,1118.19,1545.78,natural lift,10.49,1.94,3.61,0.64
africa,4050.53,2142.68,fracking,33.62,1.3,1.03,9.39
europe,1336.86,3005.19,water flooding,70.68,4.57,4.63,7.16
asia,3652.92,1431400.96,steam injection,4.34,1.79,2.22,8.66
europe,2897.46,1760719.79,water flooding,31.33,5.83,2.85,4.09
africa,913.26,4132596.2,steam injection,44.1,2.0,2.92,5.84
north america,1472.67,574.38,water flooding,23.39,4.2,3.15,0.51
north america,4454.4,4582.57,natural lift,35.35,9.94,2.82,1.21
middle east,1308.38,247034.34,natural lift,99.9,6.36,2.43,9.19
south america,3447.31,2346930.91,water flooding,75.75,1.9,4.29,1.14
africa,1356.44,4225077.12,water flooding,14.68,7.9,1.42,9.82
africa,4090.62,867.93,natural lift,0.9,0.08,3.27,6.74
asia,801.61,2776208.05,steam injection,96.13,2.29,4.79,8.82
south america,3664.84,2795.76,natural lift,52.92,5.62,4.85,8.81
asia,3810.31,2509434.45,steam injection,68.22,8.77,4.07,4.82
asia,3688.02,4184.28,fracking,25.96,3.0,1.33,8.43
north america,703.92,3857195.35,water flooding,87.31,9.01,3.59,7.59
africa,796.14,372.64,water flooding,24.41,0.65,1.53,9.86
middle east,2144.46,65.89,natural lift,29.79,0.44,3.3,6.12
asia,4193.29,1645.15,water flooding,58.13,0.5,2.05,1.55
middle east,3459.62,3922.61,natural lift,94.29,0.44,2.94,7.6
south america,3237.48,2903.36,fracking,47.31,2.1,3.03,3.89
north america,3191.77,4106.67,water flooding,36.18,7.86,3.45,3.35
asia,4558.73,4373.09,water flooding,63.63,5.5,4.99,0.76
europe,3950.91,4620.25,natural lift,56.49,6.62,2.77,3.64
asia,2138.98,169243.77,water flooding,46.83,0.0,3.7,5.7
africa,1673.98,1966265.04,water flooding,40.99,5.93,2.77,5.41
middle east,4249.52,3848582.95,natural lift,20.7,8.73,1.31,1.56
africa,2887.99,392003.09,fracking,53.52,9.84,3.59,4.27
europe,3905.76,2602879.41,water flooding,28.74,6.92,4.25,2.56
europe,2446.72,668609.5,fracking,60.7,7.03,3.5,2.28
europe,1008.48,287.19,steam injection,40.16,2.91,1.54,5.96
africa,702.72,1672.0,steam injection,66.11,3.85,4.57,7.32
africa,4157.21,2097.81,fracking,46.98,5.34,3.37,0.31
north america,3903.06,4217986.11,steam injection,24.06,6.49,3.27,3.92
asia,4110.06,2665350.58,water flooding,71.1,1.25,4.25,7.94
north america,1197.4,4626.1,water flooding,14.55,2.84,3.38,3.83
middle east,2083.82,2584585.57,steam injection,9.14,9.79,4.83,7.87
south america,3840.33,93653.5,natural lift,39.05,3.29,0.98,8.67
middle east,2638.71,81.08,fracking,10.61,0.85,0.68,0.18
south america,3097.51,4088.31,water flooding,52.03,8.07,2.42,5.45
europe,3530.15,2054887.93,steam injection,59.31,7.3,3.87,2.78
north america,4929.07,3800839.52,natural lift,23.86,3.48,0.5,5.36
africa,818.51,4466.66,water flooding,83.71,9.46,1.07,6.03
asia,3506.24,3379.03,water flooding,19.52,0.35,0.18,5.39
middle east,3443.98,4903399.34,natural lift,28.14,5.1,0.98,4.6
south america,3273.89,2917359.3,steam injection,99.33,0.1,3.4,1.46
europe,599.5,844371.8,steam injection,69.05,1.37,2.57,3.13
europe,2519.03,3205377.59,natural lift,72.74,9.15,1.06,4.87
africa,1735.83,435199.36,fracking,12.96,1.17,3.4,4.39
south america,978.26,3415.66,water flooding,74.86,9.73,3.81,5.08
europe,790.25,549.44,fracking,93.53,9.45,2.7,4.71
africa,3041.11,3892008.87,water flooding,51.62,3.65,4.71,8.83
south america,1886.35,1867357.14,natural lift,25.06,0.36,2.53,5.25
africa,2034.62,2781.59,natural lift,39.4,8.28,3.93,5.56
middle east,2267.64,1259.07,natural lift,34.88,0.84,1.18,7.05
africa,1033.04,990.22,steam injection,55.75,3.74,4.36,2.14
africa,4582.66,1230.86,steam injection,12.88,4.46,0.87,5.7
europe,1085.62,2251.32,natural lift,89.86,3.56,1.14,9.16
middle east,804.38,247.7,water flooding,34.9,2.33,4.87,6.92
asia,994.65,543.66,steam injection,63.22,9.09,0.09,7.36
asia,4198.92,3971368.55,fracking,16.19,9.59,2.53,1.05
africa,2173.13,3674080.63,fracking,53.96,1.74,1.13,2.47
africa,866.38,1011552.88,water flooding,90.2,0.42,0.48,9.76
africa,4217.42,1339869.4,water flooding,40.96,2.53,1.98,0.55
north america,4478.24,2734.89,steam injection,5.56,0.78,1.02,2.64
asia,3015.43,945234.76,natural lift,36.8,6.46,2.26,8.18
south america,1995.51,889.67,fracking,64.19,3.03,4.96,3.13
europe,4769.03,1653238.43,steam injection,86.9,3.62,3.09,0.18
africa,2985.89,2021035.2,steam injection,40.43,2.05,1.69,9.56
south america,4146.36,3545362.31,fracking,9.3,3.6,2.89,8.63
asia,3495.45,1436.12,fracking,16.61,3.87,4.98,2.82
middle east,960.42,4957615.78,water flooding,18.87,8.0,1.29,5.31
north america,4854.16,1329.67,steam injection,55.24,1.85,0.69,2.61
middle east,2731.34,709.83,steam injection,69.72,8.62,3.81,1.87
africa,2337.78,3868263.55,natural lift,38.92,3.98,5.0,1.92
asia,4147.38,981.23,water flooding,73.59,1.76,1.26,7.39
middle east,3778.35,3689766.95,steam injection,22.86,3.96,3.93,3.86
middle east,2214.66,3964450.52,fracking,9.0,3.8,4.28,0.93
asia,4523.67,89421.42,fracking,74.8,2.58,2.85,7.86
africa,4033.74,1328.23,steam injection,52.18,1.04,3.71,3.54
middle east,4140.63,3371862.08,steam injection,83.49,7.69,4.59,8.07
south america,3402.23,2150812.33,steam injection,40.81,5.23,1.23,9.34
asia,3665.39,415653.48,natural lift,12.28,4.84,4.51,0.58
europe,4015.33,398.42,natural lift,55.65,2.22,1.23,6.28
asia,3540.46,1677.74,steam injection,74.91,3.23,0.12,3.15
north america,1668.47,923.32,fracking,39.14,3.54,0.21,5.03
north america,1720.39,2849628.58,natural lift,58.33,4.35,4.12,1.1
south america,852.93,1427.8,fracking,36.92,0.15,2.92,7.84
south america,4177.86,3945589.0,water flooding,65.07,5.98,0.37,3.66
north america,1848.57,640146.09,water flooding,42.25,4.38,4.72,2.0
middle east,963.15,931.39,water flooding,10.14,2.72,2.9,5.31
middle east,4328.38,4220962.31,steam injection,58.47,2.15,2.89,0.56
asia,4263.35,86.11,fracking,48.65,4.24,0.53,9.18
north america,3725.24,4904453.1,natural lift,46.63,2.24,3.37,3.7
europe,3219.65,3388321.92,natural lift,84.24,1.12,2.75,2.99
north america,3836.34,1722621.13,steam injection,90.5,5.3,0.7,2.13
north america,1908.3,717383.88,natural lift,42.09,0.3,4.05,8.95
south america,630.63,1402.99,water flooding,80.78,2.88,4.0,4.16
africa,4844.31,3184.14,fracking,37.34,7.02,2.79,8.92
asia,3350.95,1007.52,steam injection,70.45,9.8,2.16,2.08
south america,4960.26,4091.6,steam injection,82.44,5.48,4.02,1.07
south america,4358.37,423.36,fracking,34.26,3.49,2.27,5.77
south america,2920.03,1850328.44,water flooding,72.52,0.0,3.51,2.7
asia,2762.17,3286.73,water flooding,84.08,8.98,2.81,6.51
asia,3576.95,984.38,natural lift,82.31,1.14,4.36,9.67
middle east,1576.23,1425696.29,water flooding,18.42,6.65,3.46,8.07
middle east,4368.67,4547.71,natural lift,67.22,6.53,3.03,2.58
asia,3004.32,2875443.97,fracking,80.53,2.01,3.89,7.68
south america,3430.47,3002.0,steam injection,6.86,2.62,0.15,6.09
asia,2457.85,3546.43,natural lift,57.51,9.4,3.99,0.67
africa,1153.86,3485467.48,steam injection,45.48,9.31,4.31,6.37
south america,1951.33,4868472.99,natural lift,29.1,9.69,1.54,7.91
middle east,2226.32,3195.09,natural lift,25.14,2.46,0.41,1.67
south america,4612.51,1581.37,natural lift,56.34,4.62,3.54,8.72
africa,4329.39,3628.43,natural lift,17.12,5.08,4.12,9.58
africa,4781.09,4573.28,water flooding,30.59,7.15,3.71,9.59
africa,2107.58,1001654.94,steam injection,57.5,5.62,1.62,4.93
north america,2874.68,633.72,steam injection,91.98,3.01,0.66,3.12
europe,4770.64,728.24,water flooding,29.79,5.82,4.51,0.68
north america,3418.84,2013931.91,natural lift,27.37,7.68,4.58,3.12
middle east,1131.41,2609298.9,fracking,60.08,0.67,2.6,6.18
middle east,2205.87,3822.78,steam injection,97.95,2.99,4.7,9.08
north america,3048.9,2206255.38,water flooding,9.01,0.12,1.88,2.73
africa,4245.42,87.83,water flooding,65.99,9.81,0.93,4.89
north america,3505.47,3832.43,natural lift,81.37,1.51,0.24,1.59
north america,1797.45,1502502.18,natural lift,70.28,8.39,0.03,0.87
middle east,2484.55,4182.22,steam injection,98.89,8.78,0.6,3.28
north america,3026.78,4171849.44,fracking,96.79,5.95,0.12,4.19
middle east,535.6,237155.88,fracking,83.19,8.35,1.64,0.83
asia,4512.59,3817.38,natural lift,0.55,9.28,2.9,9.71
south america,4181.44,1275767.12,fracking,67.79,4.75,0.2,1.47
north america,3383.68,3910.91,fracking,96.77,7.23,4.71,7.1
europe,2519.14,3888.23,water flooding,9.57,3.95,2.39,3.38
middle east,4827.72,1118559.29,natural lift,88.22,0.85,1.53,6.17
middle east,2179.8,3801310.47,fracking,91.75,6.67,2.39,6.04
africa,2779.24,3690.86,natural lift,82.3,8.24,3.55,1.34
south america,3038.47,117288.37,natural lift,18.09,9.29,1.35,6.78
africa,890.02,3724623.92,steam injection,42.06,8.49,4.5,6.28
middle east,4484.3,982.94,water flooding,33.56,6.39,3.12,0.08
middle east,2404.99,610909.73,water flooding,12.08,9.53,4.33,2.99
asia,3358.95,1072126.47,water flooding,17.24,8.81,4.36,2.84
europe,3998.06,767550.88,steam injection,40.54,8.87,2.44,5.75
north america,1531.2,1684.22,natural lift,61.43,7.75,3.82,6.57
north america,1696.86,3407.31,steam injection,74.04,8.71,1.08,5.22
north america,4602.47,2891.34,water flooding,47.19,6.52,0.99,5.94
europe,4652.91,2097253.94,natural lift,36.56,4.23,1.88,3.8
north america,2814.77,389.89,water flooding,55.48,4.6,4.7,7.92
europe,1456.57,3608485.71,steam injection,11.58,2.3,3.45,3.32
europe,582.13,3698.09,fracking,90.28,0.88,1.1,6.59
asia,2965.47,1793132.35,water flooding,28.61,6.02,3.55,7.17
asia,2573.7,2405135.8,water flooding,53.49,7.15,3.31,7.69
north america,2286.72,4352.81,water flooding,24.31,5.27,1.69,2.57
asia,4466.0,1175822.75,steam injection,64.16,6.78,4.06,0.11
south america,1633.31,637422.32,fracking,25.64,8.13,1.51,7.84
north america,3352.44,1328.61,natural lift,0.92,0.47,1.82,1.25
middle east,4063.62,2342.24,steam injection,20.98,0.62,2.89,9.68
asia,2066.21,2304.59,steam injection,45.05,9.78,3.52,4.02
europe,1209.65,4443311.96,steam injection,41.27,1.74,2.45,5.7
africa,2178.91,862886.52,natural lift,98.88,0.66,3.22,1.2
africa,2870.5,406985.67,steam injection,1.48,1.01,2.78,2.81
middle east,3883.74,4084.3,water flooding,19.16,4.92,0.12,8.64
north america,3749.72,3146161.73,steam injection,10.37,1.37,1.74,6.91
europe,1772.96,3478962.01,natural lift,87.46,9.43,1.74,5.9
africa,4441.38,2655194.49,steam injection,15.45,1.64,3.7,1.36
middle east,1934.33,4848.65,fracking,58.78,7.71,2.56,9.27
asia,3423.01,3655305.55,natural lift,63.33,4.79,2.59,8.2
asia,1762.33,3859466.64,natural lift,89.05,2.32,1.9,7.67
middle east,4754.51,3246107.96,fracking,30.85,4.62,3.93,8.95
europe,3202.2,1436630.57,steam injection,71.37,1.59,4.92,7.54
middle east,4995.28,3408574.41,steam injection,26.52,0.66,4.01,4.62
europe,4779.99,1985.9,fracking,91.26,5.93,4.82,7.9
europe,3286.42,1385.14,fracking,36.42,8.52,0.6,7.36
north america,2134.79,4258.21,water flooding,69.49,7.04,4.01,0.05
africa,2300.95,3719.15,fracking,62.73,5.29,4.89,6.92
europe,659.37,4366145.28,water flooding,29.38,1.29,0.98,9.16
south america,601.54,143699.76,steam injection,46.73,1.12,2.84,0.19
middle east,584.17,3784.66,fracking,56.12,3.25,3.93,6.84
europe,3571.23,833364.14,steam injection,72.21,1.45,1.68,8.47
europe,3981.8,2141.47,natural lift,7.8,9.64,2.17,7.21
africa,2151.16,395383.02,water flooding,68.77,3.14,4.2,5.18
north america,4651.88,2501257.12,steam injection,53.23,5.13,2.18,2.73
north america,4846.14,780795.09,steam injection,44.72,7.86,3.14,7.87
north america,671.05,1309.29,steam injection,93.44,1.08,2.97,8.54
europe,2351.3,4567.55,water flooding,5.45,1.53,1.07,8.92
africa,2179.15,2884182.16,fracking,58.03,9.61,3.34,7.17
asia,2180.63,3062079.62,steam injection,13.28,7.26,2.45,6.1
middle east,1494.74,2111.35,natural lift,47.48,6.24,4.08,8.05
europe,2706.03,3170.36,natural lift,28.49,3.84,1.43,4.62
europe,4758.79,2844990.23,steam injection,22.55,8.1,2.85,9.72
south america,1755.42,1275271.28,natural lift,29.01,1.57,3.73,6.9
africa,3472.94,4070862.28,fracking,91.32,3.69,0.43,8.79
asia,1263.58,4560.85,natural lift,97.02,1.6,3.33,7.31
africa,4359.47,1716.81,steam injection,41.21,8.4,0.69,2.46
asia,3189.3,4025.58,natural lift,40.55,5.66,0.58,9.4
south america,1387.4,3007638.89,fracking,47.65,9.28,2.95,0.95
north america,3406.87,2857.71,fracking,53.86,9.28,2.22,3.9
europe,3916.43,1145.89,fracking,97.07,6.9,3.96,8.52
north america,3716.65,2685.25,fracking,56.17,2.93,1.39,2.78
asia,1603.59,657.71,steam injection,57.74,0.25,2.41,0.1
middle east,2873.49,1660324.66,steam injection,26.1,2.62,3.55,6.57
middle east,3185.01,4020846.71,water flooding,50.58,9.61,1.3,7.8
africa,3057.46,2615684.8,natural lift,56.85,2.8,1.02,0.71
north america,2233.56,301.25,steam injection,84.43,7.87,2.54,8.27
north america,1142.87,1292.4,natural lift,34.63,5.12,0.52,3.71
south america,3589.56,3031481.46,water flooding,1.95,7.2,3.1,3.84
africa,734.89,1991471.08,natural lift,14.75,2.35,3.28,3.16
south america,3961.67,2824886.28,fracking,17.6,1.17,2.68,0.13
south america,4643.25,2973654.02,fracking,98.96,7.05,2.13,4.17
north america,1088.67,3744.57,water flooding,99.87,7.58,3.86,0.2
south america,571.67,3098.8,fracking,58.22,3.55,1.28,3.76
africa,3336.17,919784.12,steam injection,44.58,0.4,0.25,0.08
asia,3594.14,4471.27,steam injection,61.63,8.14,0.45,4.25
north america,3544.12,3252.74,water flooding,28.97,1.57,0.09,4.7
africa,3517.13,1084.95,steam injection,24.57,3.08,1.23,6.25
north america,4833.36,517894.47,water flooding,61.92,1.1,0.18,8.64
south america,4222.26,2524.24,water flooding,84.38,3.46,3.59,6.38
africa,2872.59,2869012.12,water flooding,1.3,8.19,3.57,3.99
asia,3952.38,901724.95,natural lift,0.34,3.58,0.19,3.39
north america,2158.69,3539801.65,water flooding,42.0,0.78,1.01,7.26
asia,3744.08,2339225.81,fracking,58.58,7.0,3.71,9.8
north america,1221.08,4966220.84,water flooding,53.52,0.95,0.31,7.63
asia,2678.54,902.89,steam injection,34.95,3.86,1.68,7.14
north america,4741.26,3494011.57,fracking,25.25,7.28,0.85,2.15
europe,4630.74,1318.49,water flooding,33.0,8.38,1.16,8.06
europe,2207.39,925148.85,fracking,40.5,3.86,1.97,7.56
south america,4196.6,898226.44,fracking,83.63,8.33,3.26,9.0
asia,4019.73,1969318.14,water flooding,48.91,8.99,1.63,8.54
south america,1036.42,1610816.11,steam injection,73.08,6.23,4.25,3.68
middle east,3621.67,2796408.26,fracking,35.84,0.94,0.48,6.9
south america,2802.88,4044.75,water flooding,97.69,2.11,2.24,1.28
europe,3974.29,474894.66,natural lift,98.58,7.14,3.14,4.35
north america,3433.97,1623180.61,steam injection,88.24,2.59,2.17,5.52
europe,3102.01,4389649.21,fracking,19.26,3.19,0.15,4.85
europe,3945.45,1892.05,fracking,11.23,5.5,2.42,4.09
middle east,4995.69,339679.81,water flooding,11.57,5.62,4.12,6.24
africa,3190.17,1829883.75,fracking,50.35,8.23,4.43,6.86
europe,2655.43,1077.6,water flooding,43.26,3.92,0.63,7.75
middle east,948.19,2975.7,fracking,30.49,8.05,2.77,0.69
europe,3122.87,4618.85,fracking,63.19,0.77,2.22,1.58
north america,1096.81,3694.77,steam injection,27.81,5.86,2.06,6.53
south america,4141.25,3865171.85,water flooding,39.76,5.36,2.34,3.12
asia,3797.15,3982887.98,steam injection,18.03,4.86,1.1,5.76
middle east,4512.64,3554593.97,steam injection,71.03,1.99,1.54,1.13
middle east,2447.2,2007.07,fracking,10.93,3.95,0.19,3.15
north america,2820.17,4941.52,steam injection,42.25,2.35,4.99,0.5
asia,4307.28,1144788.77,fracking,77.67,2.69,2.27,4.5
europe,3681.41,2651052.75,fracking,52.75,9.95,4.57,6.74
north america,909.05,4131728.3,fracking,54.14,5.84,0.44,1.35
europe,1055.95,4704519.41,fracking,25.49,9.59,2.63,9.4
africa,822.11,4049025.22,water flooding,20.03,1.71,1.6,4.35
south america,1452.89,3383.49,fracking,67.98,0.34,3.2,0.63
europe,3470.65,1163.4,steam injection,34.4,3.83,4.96,7.18
north america,4925.8,4843777.21,fracking,3.45,6.01,4.48,3.9
north america,4478.39,3009353.01,natural lift,92.08,1.33,3.6,7.92
north america,4963.37,2996763.09,fracking,30.43,5.04,3.31,4.77
asia,2214.51,3736837.17,fracking,12.2,9.3,3.21,5.78
middle east,3061.79,124.93,steam injection,31.71,4.11,2.93,0.69
middle east,1776.76,862.53,water flooding,20.41,6.53,1.44,3.62
europe,521.32,1689498.93,natural lift,7.16,1.16,0.83,0.9
europe,4917.82,4481.2,steam injection,75.15,6.81,1.26,8.36
north america,4595.23,4608.34,natural lift,81.11,9.9,2.62,2.1
middle east,571.08,2225.91,steam injection,54.72,7.39,4.31,4.64
asia,2902.82,202415.83,steam injection,56.22,0.05,0.2,8.62
asia,2500.2,2397.45,steam injection,83.86,6.87,1.86,9.19
south america,2854.8,3735.61,water flooding,11.21,9.07,4.01,2.29
middle east,3038.82,2417.33,natural lift,13.4,4.04,1.34,7.92
middle east,3594.64,3504990.27,fracking,15.5,1.94,0.54,7.06
south america,971.14,950001.83,water flooding,7.28,2.92,1.0,3.35
middle east,3385.83,2089300.93,natural lift,2.75,0.15,4.86,4.89
middle east,2378.22,859410.34,fracking,52.64,9.92,3.17,8.42
europe,3022.65,4464.78,water flooding,70.91,2.28,0.24,5.74
africa,607.16,2231.19,fracking,23.63,2.71,0.19,2.71
south america,935.47,4918103.99,natural lift,28.52,5.89,3.68,4.86
south america,2786.28,776.31,water flooding,61.65,0.92,0.63,9.61
europe,2424.2,870.34,water flooding,21.38,1.9,1.32,6.25
asia,3032.55,3092234.84,natural lift,78.4,5.75,3.81,2.8
south america,2234.69,2352.48,natural lift,99.91,9.19,4.78,7.39
north america,2245.29,1423.01,steam injection,43.08,8.33,0.87,1.34
europe,2617.81,3318.99,water flooding,39.39,6.39,3.02,4.75
asia,4813.33,117.82,steam injection,85.79,6.51,0.21,2.91
middle east,3991.98,3634.36,water flooding,87.24,5.84,4.03,7.41
asia,1805.07,3727.46,water flooding,71.63,3.28,0.57,2.33
africa,1980.18,1656.56,water flooding,94.62,3.43,4.07,7.18
asia,4694.69,2053.28,fracking,51.16,4.76,3.73,4.86
asia,4028.29,2058.37,natural lift,16.54,2.01,1.41,5.52
europe,4956.47,2461.75,natural lift,31.39,6.83,3.59,7.97
africa,3197.09,2669.66,water flooding,11.92,9.12,2.89,2.16
asia,1215.89,4556711.37,water flooding,35.95,0.66,1.36,2.03
asia,503.62,1888.23,natural lift,5.57,2.85,4.49,1.98
middle east,2305.9,1824749.84,fracking,91.71,7.05,0.61,4.46
middle east,563.29,4356.95,fracking,23.11,9.06,4.49,2.57
asia,1772.69,868800.21,fracking,29.78,3.07,0.91,0.42
africa,3713.58,4694945.87,water flooding,7.17,1.61,1.8,5.36
south america,4101.36,3224945.13,fracking,17.13,5.62,1.69,5.57
middle east,2636.08,4002.76,fracking,85.68,7.15,4.95,0.24
africa,2858.39,4167.45,steam injection,27.38,6.09,4.75,3.21
middle east,1517.21,4190858.02,fracking,95.59,2.51,4.57,3.57
africa,3119.31,4153.31,steam injection,67.49,9.65,2.3,1.33
africa,1594.69,3234293.17,natural lift,6.36,4.99,0.46,5.86
